no;gender;party;educ;health_ins7;jobs_guar7;gov_services7;FS_poor3;FS_childcare3;FS_crime3;FS_publicschools3;FS_welfare3;FS_envir3;FS_socsec3
163;1;independent;2;NA;NA;NA;1;1;1;1;3;1;2
164;2;Democrat;2;NA;NA;NA;1;2;1;2;2;3;2
165;2;Democrat;1;1;1;7;1;1;1;1;1;1;1
166;2;independent;1;5;4;4;2;1;1;1;3;2;1
167;2;Republican;1;7;7;7;1;1;3;1;2;2;1
168;1;Democrat;1;NA;NA;NA;2;2;2;2;2;3;3
169;1;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
170;2;Democrat;2;NA;NA;NA;3;3;2;2;3;2;2
171;1;Republican;2;7;7;1;2;2;1;2;2;2;1
172;2;Democrat;2;NA;NA;NA;1;1;1;1;3;1;1
173;2;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
174;1;Democrat;2;NA;NA;NA;2;1;2;1;1;1;2
175;2;Democrat;2;NA;3;6;1;1;2;1;1;2;1
176;2;independent;2;6;NA;NA;1;2;1;2;2;1;1
177;1;Republican;2;NA;NA;NA;1;1;1;1;2;2;2
178;1;Democrat;1;NA;NA;NA;1;1;1;1;2;2;1
179;2;Republican;2;NA;NA;NA;1;2;1;2;2;2;1
180;1;independent;1;NA;NA;NA;2;2;2;2;2;2;2
181;2;independent;2;NA;NA;NA;1;1;2;1;1;1;2
182;2;independent;2;NA;NA;NA;1;1;1;1;2;1;1
183;1;independent;1;NA;NA;NA;2;NA;2;1;2;1;NA
184;2;Democrat;2;1;2;6;1;1;3;1;1;1;1
185;2;Republican;2;6;5;4;2;2;2;2;2;2;2
186;1;Democrat;2;6;2;NA;2;2;1;2;3;2;1
187;2;independent;1;3;1;7;1;1;1;1;3;1;1
188;2;Republican;2;NA;NA;NA;2;2;2;2;3;2;1
189;1;Democrat;2;4;4;5;1;2;2;1;2;2;3
190;1;independent;2;3;6;3;2;2;1;1;3;2;2
191;1;Republican;2;5;6;4;1;1;1;2;2;1;2
192;1;Republican;2;NA;NA;NA;1;1;1;1;2;2;1
193;1;independent;2;NA;NA;NA;1;1;2;1;1;2;2
194;1;independent;2;6;6;4;1;1;1;1;2;1;2
195;2;independent;1;NA;NA;NA;2;1;1;1;3;2;1
196;1;independent;2;NA;NA;NA;1;2;1;2;2;1;2
197;1;independent;1;2;3;NA;1;2;1;1;3;1;1
198;1;Republican;2;5;5;3;1;1;1;2;3;3;NA
199;2;independent;1;NA;NA;NA;1;3;1;1;2;2;1
200;2;Republican;2;NA;NA;NA;1;2;2;1;2;1;1
201;1;Republican;2;7;7;3;1;1;1;1;3;1;2
202;2;Democrat;1;5;5;6;1;1;1;1;1;1;1
203;1;Republican;2;5;5;4;3;3;1;1;3;2;1
204;2;independent;2;4;4;4;2;1;1;1;2;1;1
205;1;Republican;2;NA;NA;NA;2;NA;1;1;3;2;2
206;2;Republican;1;NA;NA;NA;1;2;1;1;2;1;1
207;2;Republican;2;NA;NA;NA;1;NA;1;1;3;1;1
208;2;Democrat;1;1;7;6;1;1;1;1;1;1;2
209;2;independent;1;NA;5;NA;1;1;2;2;1;2;2
210;1;Democrat;2;1;1;7;1;1;1;1;1;1;1
211;1;Democrat;1;6;5;NA;1;2;2;1;1;1;2
212;2;Democrat;2;1;3;6;1;2;2;1;2;1;2
213;2;independent;1;NA;NA;NA;2;1;3;1;2;1;1
214;1;Democrat;2;NA;NA;NA;1;1;1;1;1;2;1
215;2;Democrat;2;1;1;1;1;1;2;1;1;2;1
216;1;Republican;1;NA;2;6;2;1;1;1;3;1;2
217;2;independent;2;NA;NA;NA;1;1;1;1;3;1;1
218;2;Democrat;1;4;NA;6;2;2;1;1;3;2;1
219;2;Republican;2;NA;NA;NA;1;1;1;1;2;1;1
220;1;independent;1;1;2;NA;1;2;1;2;1;1;2
221;1;Democrat;2;NA;NA;NA;1;1;1;1;3;2;2
222;2;independent;1;NA;NA;NA;2;NA;1;1;3;1;1
223;1;Democrat;2;3;NA;7;1;1;1;1;3;1;1
224;2;Democrat;1;4;NA;4;1;2;1;2;3;1;2
225;2;Democrat;1;2;3;6;2;1;1;1;1;1;1
226;2;Democrat;2;7;NA;NA;1;1;1;1;2;1;1
227;2;independent;1;4;4;4;1;1;2;1;1;1;1
228;1;Democrat;2;1;6;4;1;1;1;1;2;1;2
229;1;Democrat;1;6;4;4;1;1;2;1;1;1;1
230;1;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
231;1;independent;2;NA;NA;NA;1;2;2;1;1;1;1
232;1;independent;2;3;4;4;1;1;2;2;1;2;2
233;1;Republican;2;NA;NA;NA;2;2;2;2;3;2;2
234;2;independent;2;1;5;4;1;2;1;2;2;1;1
235;2;Republican;2;NA;NA;NA;2;2;2;1;2;3;2
236;2;Democrat;2;NA;NA;NA;1;1;2;1;3;1;1
237;2;independent;2;6;6;4;2;2;2;1;2;1;2
238;1;Republican;1;NA;NA;NA;3;2;1;3;3;2;3
239;1;Republican;2;NA;NA;NA;1;2;1;2;1;2;1
240;1;Democrat;2;2;6;6;1;1;2;1;2;1;1
241;1;Republican;2;NA;NA;NA;3;3;1;1;3;1;1
242;1;independent;2;1;2;5;1;1;1;1;2;2;1
243;2;Republican;2;NA;NA;NA;2;2;1;1;3;2;2
244;1;independent;2;NA;NA;NA;2;1;2;1;3;1;2
245;1;Republican;1;6;7;3;1;2;1;2;2;1;2
246;1;Republican;1;NA;NA;NA;NA;2;1;1;3;2;2
247;2;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
248;2;Democrat;2;2;5;5;3;2;1;1;3;1;1
249;1;Republican;2;NA;NA;NA;1;2;1;2;3;1;2
250;1;Democrat;2;1;6;6;1;2;1;1;3;1;1
251;2;Republican;1;NA;NA;NA;1;2;1;1;3;1;2
252;2;independent;2;3;6;4;2;2;2;1;3;2;1
253;2;Democrat;2;NA;NA;NA;1;2;2;1;1;1;2
254;1;Democrat;1;NA;NA;NA;1;1;1;1;1;1;1
255;2;Democrat;2;NA;NA;NA;1;2;1;1;1;1;1
256;1;independent;1;NA;NA;NA;1;1;1;1;1;1;1
257;2;independent;2;3;6;4;2;1;2;2;3;3;2
258;1;Democrat;1;NA;NA;NA;1;1;1;1;2;1;1
259;2;independent;1;NA;NA;NA;1;1;1;1;1;1;1
260;1;Republican;2;NA;NA;NA;3;3;2;2;3;3;1
261;1;independent;1;NA;NA;NA;1;2;2;2;2;1;1
262;2;independent;1;6;4;7;1;1;1;1;2;1;2
263;2;independent;1;NA;NA;NA;1;1;1;1;2;1;1
264;1;Republican;1;NA;NA;NA;1;1;1;1;2;1;2
265;2;Democrat;1;1;1;5;1;2;1;1;2;1;1
266;1;independent;1;NA;NA;NA;1;1;2;1;2;1;1
267;2;Democrat;2;NA;NA;NA;1;1;2;1;2;1;1
268;2;Democrat;2;NA;NA;NA;1;2;2;1;2;1;1
269;2;Democrat;2;1;3;5;1;1;3;1;1;1;1
270;1;Democrat;1;4;4;6;2;1;1;1;1;1;2
271;1;independent;2;1;4;5;NA;NA;NA;1;NA;1;NA
272;1;independent;1;NA;NA;NA;3;1;2;1;1;1;2
273;1;Democrat;2;NA;NA;NA;1;1;2;1;1;1;2
274;1;independent;1;1;4;NA;NA;1;2;NA;1;1;2
275;2;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
276;1;Democrat;2;NA;NA;NA;2;2;2;1;2;1;2
277;1;independent;2;NA;NA;NA;2;2;2;1;2;1;1
278;2;Democrat;2;1;4;6;1;1;2;1;1;1;1
279;2;Democrat;2;NA;NA;NA;1;1;2;1;1;1;1
280;1;Democrat;2;NA;NA;NA;1;2;2;1;3;1;1
281;1;Democrat;2;NA;NA;NA;2;1;1;2;3;2;2
282;2;Democrat;2;4;3;4;1;2;1;1;1;1;1
283;1;independent;2;NA;NA;NA;1;1;3;1;1;1;1
284;2;Democrat;2;2;5;4;1;1;2;1;2;1;1
285;1;independent;2;NA;NA;NA;1;1;1;2;2;1;1
286;2;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
287;2;independent;1;NA;NA;NA;1;1;2;1;2;1;2
288;2;Democrat;2;2;1;5;1;1;2;1;2;1;2
289;2;independent;2;NA;NA;NA;2;2;2;1;2;2;1
290;2;Democrat;2;1;3;6;1;1;1;1;2;2;1
291;2;Democrat;2;NA;NA;NA;1;1;2;1;1;2;2
292;2;independent;2;7;5;1;3;1;1;1;3;1;1
293;1;Democrat;1;5;6;4;2;1;1;1;1;1;2
294;1;independent;1;7;3;NA;1;1;3;1;1;1;1
295;2;Republican;2;NA;NA;NA;2;2;2;1;3;2;1
296;2;independent;2;1;1;7;2;2;1;1;2;2;1
297;2;independent;2;2;3;5;1;1;1;1;1;1;1
298;2;Democrat;1;1;1;5;1;1;1;1;1;1;1
299;2;Democrat;2;1;1;6;1;1;1;1;2;1;1
300;2;Democrat;2;1;1;1;1;1;1;1;1;1;1
301;2;independent;2;NA;NA;NA;1;1;1;1;1;1;1
302;1;independent;1;3;4;NA;2;1;1;1;3;1;2
303;2;Republican;2;NA;NA;NA;1;1;1;1;1;1;1
304;2;Democrat;2;4;3;4;1;2;1;1;2;1;2
305;2;Republican;2;7;6;2;2;3;1;1;2;2;1
306;2;Democrat;2;3;2;6;1;1;1;1;2;2;1
307;1;independent;1;7;7;NA;2;1;1;1;3;1;1
308;2;Republican;2;4;5;4;2;2;2;1;2;2;2
309;2;Republican;1;NA;NA;NA;1;2;1;1;3;1;2
310;1;independent;2;3;6;4;1;2;2;1;2;1;2
311;2;Democrat;1;3;3;4;1;1;1;1;2;2;1
312;1;independent;1;1;1;1;1;1;1;1;1;1;1
313;1;independent;1;1;2;6;2;1;1;1;3;1;1
314;2;Democrat;1;NA;NA;NA;1;1;2;1;2;2;1
315;2;independent;1;NA;NA;NA;1;1;1;1;2;2;1
316;2;independent;1;2;3;4;1;2;1;1;2;1;1
317;2;independent;2;NA;NA;NA;1;1;1;1;1;1;1
318;1;independent;2;NA;NA;NA;1;1;3;1;2;1;1
319;2;Democrat;1;2;1;4;1;1;1;1;1;1;1
320;2;independent;2;1;5;5;1;1;2;1;2;1;3
321;2;Democrat;2;2;2;6;1;1;1;1;2;1;1
322;1;Democrat;2;NA;NA;NA;1;1;1;1;1;1;2
323;1;Democrat;2;NA;NA;NA;1;2;2;1;2;1;1
324;1;independent;2;3;6;NA;3;1;1;1;3;3;1
325;1;independent;2;6;4;3;2;1;2;2;2;1;2
326;1;Republican;1;5;5;2;1;2;1;1;3;1;2
327;1;independent;2;NA;NA;NA;2;1;3;1;3;1;2
328;2;Republican;2;NA;NA;NA;2;2;2;1;2;1;1
329;1;Democrat;2;1;3;5;1;1;1;1;1;1;1
330;2;Republican;2;NA;NA;NA;3;2;2;1;2;2;2
331;1;Democrat;2;NA;NA;NA;2;2;2;2;2;2;1
332;2;independent;2;NA;NA;NA;2;2;1;1;3;2;2
333;1;Republican;2;7;7;1;3;3;1;3;3;3;2
334;2;Republican;2;1;2;NA;1;NA;1;1;NA;1;NA
335;1;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
336;1;independent;2;2;4;6;3;1;3;1;1;2;2
337;2;Republican;2;4;7;3;2;3;1;3;3;2;1
338;1;Republican;2;NA;NA;NA;2;2;1;3;NA;3;2
339;2;Democrat;1;NA;NA;NA;2;1;2;2;1;1;1
340;1;Republican;1;NA;NA;NA;2;3;2;1;3;2;2
341;2;independent;1;1;1;6;1;1;3;1;1;1;1
342;1;Democrat;1;NA;NA;NA;3;2;1;2;3;1;3
343;2;Democrat;2;NA;NA;NA;1;1;2;2;1;2;1
344;2;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
345;2;Republican;1;5;6;NA;1;1;1;1;2;2;2
346;2;independent;2;NA;NA;NA;2;2;2;1;2;1;NA
347;2;Democrat;1;NA;NA;NA;1;1;1;1;1;2;2
348;1;independent;2;NA;NA;NA;1;2;3;1;2;1;2
349;1;independent;1;NA;NA;NA;2;1;2;1;2;1;1
350;1;independent;2;NA;NA;NA;1;1;2;1;2;1;1
351;1;Democrat;2;2;2;5;1;1;1;1;2;1;2
352;2;independent;2;1;4;7;1;1;1;1;1;2;1
353;2;independent;2;2;5;5;1;2;1;1;2;2;1
354;2;independent;2;NA;5;NA;2;2;2;1;3;1;1
355;1;Democrat;2;1;4;7;2;2;2;1;3;1;2
356;1;Republican;2;NA;NA;NA;1;3;1;3;1;1;1
357;2;Republican;2;7;7;2;2;1;1;1;2;2;2
358;1;independent;1;4;5;5;1;1;2;1;2;1;1
359;2;independent;2;7;1;6;1;1;2;1;2;1;1
360;1;Democrat;1;NA;NA;NA;1;2;2;1;2;2;1
361;1;independent;2;1;5;6;1;2;1;2;2;2;2
362;1;independent;1;NA;NA;NA;1;2;1;1;3;3;1
363;2;independent;2;NA;NA;NA;2;2;2;1;2;2;1
364;2;Democrat;2;6;4;6;1;2;1;1;3;1;1
365;2;independent;1;1;1;6;1;1;1;1;2;1;2
366;1;independent;2;7;7;2;2;2;1;2;3;2;1
367;1;Republican;1;NA;NA;NA;1;1;1;1;3;1;1
368;2;Democrat;2;NA;NA;NA;1;1;1;1;1;1;1
369;2;Democrat;1;NA;1;6;1;2;2;1;2;1;1
370;2;Democrat;1;4;3;4;1;1;1;1;2;1;1
371;2;independent;1;1;6;4;NA;NA;1;1;1;1;1
372;1;independent;1;2;5;7;2;1;1;1;3;2;1
373;1;Republican;1;7;7;1;2;2;2;3;2;2;2
374;1;Democrat;2;NA;NA;NA;1;1;2;1;1;1;2
375;1;independent;2;3;5;5;1;1;1;1;2;1;1
376;1;independent;2;NA;NA;NA;1;1;1;1;1;1;1
377;1;independent;1;NA;NA;NA;1;1;2;1;2;1;1
378;2;independent;1;NA;NA;NA;2;2;2;2;2;2;2
379;2;Democrat;1;NA;NA;NA;1;1;1;1;2;1;1
380;2;independent;2;4;5;2;2;2;1;2;2;2;2
381;2;Democrat;2;NA;NA;NA;2;2;2;1;2;2;2
382;2;Democrat;1;2;1;7;1;1;2;1;1;1;1
383;1;Democrat;1;1;1;4;2;1;2;1;2;2;1
384;1;Democrat;1;NA;NA;NA;2;1;2;1;2;2;1
385;2;independent;2;3;4;6;1;1;2;1;2;1;1
386;2;Democrat;2;1;2;6;1;1;2;1;1;1;1
387;2;independent;2;NA;NA;NA;1;1;3;1;2;3;1
388;2;Democrat;1;NA;NA;NA;2;2;2;3;2;2;1
389;1;Republican;1;NA;NA;NA;1;1;1;1;1;1;1
390;2;Democrat;2;NA;NA;NA;1;1;1;1;2;1;1
391;1;Democrat;2;NA;NA;NA;1;1;1;1;2;1;2
392;2;independent;2;NA;NA;NA;1;2;2;1;2;1;3
393;2;Democrat;2;5;2;5;1;NA;2;1;1;2;1
394;2;independent;1;6;NA;5;2;2;2;1;2;2;1
395;1;independent;2;4;4;4;NA;NA;NA;NA;NA;NA;NA
396;1;Democrat;2;NA;NA;NA;1;1;2;1;2;1;2
397;1;independent;2;NA;7;1;3;3;3;3;3;3;NA
398;1;independent;1;NA;NA;NA;1;1;2;2;1;2;1
399;2;independent;2;NA;NA;NA;NA;NA;NA;1;3;NA;NA
400;1;independent;2;NA;NA;NA;2;2;1;1;3;1;1
401;1;independent;2;3;6;2;2;1;2;1;2;1;1
402;1;independent;2;1;4;5;1;1;2;1;1;1;1
403;2;independent;2;2;6;6;1;1;2;1;2;1;1
404;2;Democrat;2;NA;NA;NA;1;1;2;1;1;1;1
405;2;Democrat;1;4;NA;5;1;3;1;1;2;1;1
406;2;independent;2;NA;NA;NA;3;3;1;1;3;2;1
407;2;independent;1;1;1;7;1;2;1;1;2;1;2
408;2;independent;1;NA;NA;NA;1;1;1;1;1;1;2
409;1;independent;1;NA;NA;NA;1;1;1;1;1;1;1
410;1;independent;1;NA;NA;NA;1;1;1;1;1;1;1
411;2;Republican;2;NA;NA;NA;1;1;1;1;2;1;1
412;2;independent;2;NA;NA;NA;3;NA;1;1;3;3;2
413;1;independent;2;2;3;4;1;2;2;1;1;2;1
414;1;Republican;2;NA;NA;NA;2;2;2;2;2;1;1
415;2;Republican;2;NA;NA;NA;2;2;2;1;3;3;1
416;1;independent;2;NA;NA;NA;2;2;2;1;2;1;1
417;1;independent;1;2;6;4;1;1;1;1;2;1;1
418;1;Republican;2;5;6;3;2;2;1;2;3;1;2
419;1;independent;2;NA;NA;NA;2;1;2;1;3;1;2
420;1;Republican;1;NA;NA;NA;1;1;1;1;1;1;1
421;2;Democrat;2;NA;NA;NA;1;1;2;1;2;1;2
422;2;Republican;2;NA;NA;NA;1;2;1;1;2;1;1
423;1;Democrat;2;1;5;7;1;1;3;1;1;1;1
424;1;independent;2;NA;NA;NA;1;1;1;1;1;1;1
425;1;Republican;2;2;2;5;1;1;1;2;1;1;1
426;2;Democrat;2;NA;NA;NA;2;2;1;1;2;1;1
427;1;Republican;1;4;7;NA;3;1;1;1;3;3;1
428;2;Democrat;1;NA;NA;NA;1;2;1;1;3;1;1
429;2;independent;1;3;5;5;1;1;1;1;1;1;1
430;2;Democrat;1;NA;NA;NA;1;1;1;1;2;1;1
431;2;independent;2;NA;NA;NA;1;1;1;1;3;1;1
432;2;independent;2;NA;NA;NA;1;1;1;1;1;1;1
433;1;independent;1;NA;NA;NA;2;2;2;2;2;NA;2
434;2;Democrat;2;NA;NA;4;2;1;1;1;2;1;1
435;1;independent;1;NA;4;NA;1;1;1;1;1;1;1
